kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_depth,koi_duration,koi_time0bk,koi_impact,koi_model_snr,koi_prad,ra,dec,koi_kepmag,kic9,fits_stem,lc_llc_glob,lc_slc_glob
9479273,K00940.01,Kepler-734 b,CONFIRMED,6.104849417,2090.3,4.6912,169.573477,0.041,293.7,3.18,297.04562,46.027359,15.017,009479273,kplr009479273,kplr009479273-*_llc.fits,kplr009479273-*_slc.fits
8359498,K00127.01,Kepler-77 b,CONFIRMED,3.578780566,11382.0,2.91089,134.0304187,0.079,1838.4,10.43,289.60797,44.345421,13.938,008359498,kplr008359498,kplr008359498-*_llc.fits,kplr008359498-*_slc.fits
9171801,K00933.01,,FALSE POSITIVE,3.187067566,1037.4,3.119,171.64976,1.234,37.2,23.88,297.78848,45.565418,15.653,009171801,kplr009171801,kplr009171801-*_llc.fits,kplr009171801-*_slc.fits
9334289,K00934.03,Kepler-254 d,CONFIRMED,18.74649011,796.8,3.895,147.13074,0.508,26.7,3.05,288.1647,45.816509,15.843,009334289,kplr009334289,kplr009334289-*_llc.fits,kplr009334289-*_slc.fits
9347899,K00935.04,,CANDIDATE,9.61731426,234.0,3.8692,142.47479,0.331,18.2,1.94,294.02301,45.853081,15.237,009347899,kplr009347899,kplr009347899-*_llc.fits,kplr009347899-*_slc.fits
9388479,K00936.02,Kepler-732 c,CONFIRMED,0.893040969,741.7,1.0981,134.540342,0.009,87.8,1.24,283.73203,45.958771,15.073,009388479,kplr009388479,kplr009388479-*_llc.fits,kplr009388479-*_slc.fits
11359879,K00128.01,Kepler-15 b,CONFIRMED,4.942783419,11145.0,3.25346,136.3294353,0.566,2040.7,10.62,296.20059,49.140121,13.758,011359879,kplr011359879,kplr011359879-*_llc.fits,kplr011359879-*_slc.fits
9406990,K00937.01,Kepler-733 b,CONFIRMED,20.83426731,988.4,4.0454,176.58569,0.256,45.1,2.74,293.01828,45.914688,15.412,009406990,kplr009406990,kplr009406990-*_llc.fits,kplr009406990-*_slc.fits
9415172,K00938.03,Kepler-255 b,CONFIRMED,5.71462396,297.8,2.336,132.63866,0.503,16.7,1.78,296.06424,45.976841,15.596,009415172,kplr009415172,kplr009415172-*_llc.fits,kplr009415172-*_slc.fits
9904059,K00145.01,,FALSE POSITIVE,102.9641952,1896.7,15.735,158.07473,0.922,86.1,39.0,296.81772,46.781509,13.608,009904059,kplr009904059,kplr009904059-*_llc.fits,kplr009904059-*_slc.fits
2860866,K01103.01,,CANDIDATE,90.1240507,3020.3,11.649,356.23415,0.698,57.9,7.12,293.22391,38.033581,14.96,002860866,kplr002860866,kplr002860866-*_llc.fits,kplr002860866-*_slc.fits
10460629,K01168.01,,CANDIDATE,856.672115,858.1,23.144,228.44988,0.1158,39.2,3.87,287.58679,47.600021,13.997,010460629,kplr010460629,kplr010460629-*_llc.fits,kplr010460629-*_slc.fits
10319385,K01169.01,,CANDIDATE,0.689210173,195.0,1.6169,133.28584,0.154,93.4,1.32,281.55118,47.469959,13.248,010319385,kplr010319385,kplr010319385-*_llc.fits,kplr010319385-*_slc.fits
10482160,K01170.01,Kepler-1739 b,CONFIRMED,7.34373964,574.4,1.1784,137.29874,0.185,32.2,1.84,296.23215,47.678959,14.657,010482160,kplr010482160,kplr010482160-*_llc.fits,kplr010482160-*_slc.fits
10485069,K01171.01,,FALSE POSITIVE,0.445277068,186.7,3.539,133.52312,1.2962,28.9,35.74,297.10349,47.64357,15.343,010485069,kplr010485069,kplr010485069-*_llc.fits,kplr010485069-*_slc.fits
6579806,K00967.01,,FALSE POSITIVE,9.88047978,18541.0,2.78458,173.608672,1.02,534.5,23.6,281.66916,42.038639,15.212,006579806,kplr006579806,kplr006579806-*_llc.fits,kplr006579806-*_slc.fits
3560301,K00968.01,,FALSE POSITIVE,4.6484156,128.4,38.1939,261.09395,0.968,91.7,5.06,295.26682,38.61124,10.963,003560301,kplr003560301,kplr003560301-*_llc.fits,kplr003560301-*_slc.fits
4044005,K00969.01,,FALSE POSITIVE,17.512014768,4511.7,1.8248,174.282592,0.994,322.3,13.66,287.61633,39.127239,12.336,004044005,kplr004044005,kplr004044005-*_llc.fits,kplr004044005-*_slc.fits
11502218,K00970.01,,CANDIDATE,3.9886021,673.5,1.7376,171.01852,0.06,37.1,34.39,289.09323,49.424484,6.974,011502218,kplr011502218,kplr011502218-*_llc.fits,kplr011502218-*_slc.fits
11180361,K00971.01,,CANDIDATE,0.533059312,1495.8,1.8621,171.2274419,1.263,179.6,133.56,286.0192,48.866741,7.748,011180361,kplr011180361,kplr011180361-*_llc.fits,kplr011180361-*_slc.fits
5802246,K01044.01,,FALSE POSITIVE,0.525154153,747.5,2.1441,133.744359,1.226,116.1,23.61,295.09866,41.007038,15.058,005802246,kplr005802246,kplr005802246-*_llc.fits,kplr005802246-*_slc.fits
6066403,K01045.01,,FALSE POSITIVE,1.303861044,598.2,4.0541,134.212059,1.258,140.6,27.85,298.13589,41.332062,13.555,006066403,kplr006066403,kplr006066403-*_llc.fits,kplr006066403-*_slc.fits
6209637,K01046.01,,FALSE POSITIVE,0.73452496,,6.7,133.43108,,,,293.28799,41.560455,13.22,006209637,kplr006209637,kplr006209637-*_llc.fits,kplr006209637-*_slc.fits
5988031,K01047.01,,FALSE POSITIVE,2.55549176,113.8,9.083,134.50078,1.228,24.3,23.35,298.77325,41.214729,14.554,005988031,kplr005988031,kplr005988031-*_llc.fits,kplr005988031-*_slc.fits
7684873,K00014.01,,FALSE POSITIVE,2.947376671,433.2,2.0911,171.522978,2.641,62.3,403.59,292.61194,43.305141,10.47,007684873,kplr007684873,kplr007684873-*_llc.fits,kplr007684873-*_slc.fits
2851100,K01104.01,,FALSE POSITIVE,0.890110752,321.5,0.8774,133.2647,0.216,19.6,1.25,291.17068,38.008591,15.723,002851100,kplr002851100,kplr002851100-*_llc.fits,kplr002851100-*_slc.fits
3130300,K01105.01,,FALSE POSITIVE,5.76573396,248.0,2.924,133.30941,0.708,22.2,7.47,294.52557,38.204632,14.313,003130300,kplr003130300,kplr003130300-*_llc.fits,kplr003130300-*_slc.fits
3228959,K01107.01,,FALSE POSITIVE,0.73094589,250.2,4.32,133.68876,1.169,37.5,17.12,289.7962,38.351181,15.401,003228959,kplr003228959,kplr003228959-*_llc.fits,kplr003228959-*_slc.fits
10341913,K01172.01,,FALSE POSITIVE,0.933749106,186.2,4.256,134.31831,0.736,136.3,3.22,292.77588,47.461689,13.079,010341913,kplr010341913,kplr010341913-*_llc.fits,kplr010341913-*_slc.fits
10480921,K01173.01,,FALSE POSITIVE,2.037440623,118.6,3.442,133.59962,0.715,27.0,1.19,295.79526,47.66396,14.187,010480921,kplr010480921,kplr010480921-*_llc.fits,kplr010480921-*_slc.fits
10287723,K01174.01,,CANDIDATE,129995.7784,1474.9,9.408,393.59962,0.7127,35.7,2.99,296.82162,47.354031,13.447,010287723,kplr010287723,kplr010287723-*_llc.fits,kplr010287723-*_slc.fits
3749365,K01176.01,Kepler-785 b,CONFIRMED,1.97376085,30222.0,1.82542,178.6894194,0.337,1252.5,8.78,292.0683,38.84227,15.715,003749365,kplr003749365,kplr003749365-*_llc.fits,kplr003749365-*_slc.fits
11673674,K00133.01,,FALSE POSITIVE,4.618767792,4399.1,5.9957,133.386535,0.766,270.1,7.48,297.31006,49.703041,13.652,011673674,kplr011673674,kplr011673674-*_llc.fits,kplr011673674-*_slc.fits
11013201,K00972.02,,CANDIDATE,7.82187328,42.2,3.8417,123.49907,0.005,37.2,2.78,282.00031,48.542221,9.275,011013201,kplr011013201,kplr011013201-*_llc.fits,kplr011013201-*_slc.fits
9414417,K00974.01,,CANDIDATE,53.5057611,195.6,10.5616,172.98304,0.46,71.2,2.52,295.80267,45.988079,9.582,009414417,kplr009414417,kplr009414417-*_llc.fits,kplr009414417-*_slc.fits
3632418,K00975.01,Kepler-21 b,CONFIRMED,2.785821236,68.9,3.5599,260.83731,0.893,53.6,1.69,287.36182,38.714016,8.224,003632418,kplr003632418,kplr003632418-*_llc.fits,kplr003632418-*_slc.fits
3441784,K00976.01,,FALSE POSITIVE,52.56901867,26900.0,6.7507,184.971267,1.197,184.3,78.54,290.94437,38.538868,9.729,003441784,kplr003441784,kplr003441784-*_llc.fits,kplr003441784-*_slc.fits
